post_id,day_of_posting,date_of_posting,time_of_posting,post_type,likes,comments,shares,repost,gender,hashtags
0000000000000001,Monday,2024-12-31,10:30:00,carousel,120,25,12,6,M,#Tech,#AI
0000000000000002,Tuesday,2024-12-30,14:15:00,reels,250,55,30,15,F,#ML,#Data,#AI
0000000000000003,Wednesday,2024-12-29,12:00:00,static-images,60,15,8,3,M,
0000000000000004,Thursday,2024-12-28,09:00:00,video-carousel,180,40,20,10,F,#Fitness,#Health
0000000000000005,Friday,2024-12-27,11:45:00,mixed-carousel,140,30,16,8,M,#Tech,#AI
0000000000000006,Saturday,2024-12-26,16:00:00,carousel,100,20,10,5,F,#Fashion
0000000000000007,Sunday,2024-12-25,13:30:00,reels,270,60,35,18,M,#Food,#Travel
0000000000000008,Monday,2024-12-24,08:00:00,static-images,55,12,6,2,F,
0000000000000009,Tuesday,2024-12-23,14:00:00,video-carousel,210,45,22,12,M,#Music
0000000000000010,Wednesday,2024-12-22,10:00:00,mixed-carousel,130,28,14,7,F,#Nature
0000000000000011,Thursday,2024-12-21,12:30:00,carousel,110,22,11,5,M,#Photography
0000000000000012,Friday,2024-12-20,17:00:00,reels,240,50,28,14,F,#Vlog,#Adventure
0000000000000013,Saturday,2024-12-19,11:00:00,static-images,70,18,9,4,M,
0000000000000014,Sunday,2024-12-18,14:30:00,video-carousel,190,42,21,11,F,#Movies
0000000000000015,Monday,2024-12-17,09:15:00,mixed-carousel,150,32,16,8,M,#Sports
0000000000000016,Tuesday,2024-12-16,15:00:00,carousel,95,18,9,4,F,#DIY
0000000000000017,Wednesday,2024-12-15,13:30:00,reels,280,65,38,20,M,#Tech,#Innovation
0000000000000018,Thursday,2024-12-14,11:45:00,static-images,80,17,9,4,F,
0000000000000019,Friday,2024-12-13,10:00:00,video-carousel,190,40,21,10,M,#Education
0000000000000020,Saturday,2024-12-12,12:00:00,mixed-carousel,150,32,16,7,F,#Travel
0000000000000021,Sunday,2024-12-11,16:00:00,carousel,105,22,11,5,M,#Food
0000000000000022,Monday,2024-12-10,09:30:00,reels,220,50,30,15,F,#Fitness
0000000000000023,Tuesday,2024-12-09,14:15:00,static-images,75,18,9,4,M,
0000000000000024,Wednesday,2024-12-08,12:00:00,video-carousel,200,45,25,12,F,#Health
0000000000000025,Thursday,2024-12-07,11:00:00,mixed-carousel,130,28,14,6,M,#Photography
0000000000000026,Friday,2024-12-06,15:00:00,carousel,110,22,12,5,F,#Music
0000000000000027,Saturday,2024-12-05,10:30:00,reels,230,55,32,16,M,#Food,#Recipes
0000000000000028,Sunday,2024-12-04,14:00:00,static-images,90,20,10,5,F,
0000000000000029,Monday,2024-12-03,16:30:00,video-carousel,200,45,23,11,M,#Tech,#Gadgets
0000000000000030,Tuesday,2024-12-02,12:45:00,mixed-carousel,140,30,16,7,F,#Lifestyle
0000000000000031,Wednesday,2024-12-01,09:00:00,carousel,95,19,9,4,M,#Business
0000000000000032,Thursday,2024-11-30,13:30:00,reels,250,60,35,18,F,#Vlog
0000000000000033,Friday,2024-11-29,10:00:00,static-images,70,16,8,3,M,
0000000000000034,Saturday,2024-11-28,14:15:00,video-carousel,190,42,20,10,F,#Movies
0000000000000035,Sunday,2024-11-27,12:00:00,mixed-carousel,140,32,16,8,M,#Sports
0000000000000036,Monday,2024-11-26,09:45:00,carousel,120,28,14,7,F,#Nature
0000000000000037,Tuesday,2024-11-25,11:00:00,reels,220,55,30,15,M,#AI
0000000000000038,Wednesday,2024-11-24,13:30:00,static-images,80,18,9,4,F,
0000000000000039,Thursday,2024-11-23,10:30:00,video-carousel,180,39,20,9,M,#Fitness
0000000000000040,Friday,2024-11-22,12:00:00,mixed-carousel,130,30,15,7,F,#Tech
0000000000000041,Saturday,2024-11-21,14:00:00,carousel,110,24,12,6,M,#Food
0000000000000042,Sunday,2024-11-20,16:15:00,reels,200,45,22,11,F,#Adventure
0000000000000043,Monday,2024-11-19,13:00:00,static-images,60,15,7,3,M,
0000000000000044,Tuesday,2024-11-18,09:30:00,video-carousel,190,43,21,10,F,#Movies
0000000000000045,Wednesday,2024-11-17,12:45:00,mixed-carousel,140,32,16,8,M,#Travel
0000000000000046,Thursday,2024-11-16,10:00:00,carousel,100,20,10,5,F,#Health
0000000000000047,Friday,2024-11-15,14:00:00,reels,210,50,25,12,M,#Tech
0000000000000048,Saturday,2024-11-14,12:30:00,static-images,70,18,9,4,F,
0000000000000049,Sunday,2024-11-13,13:00:00,video-carousel,200,45,22,11,M,#Fitness
0000000000000050,Monday,2024-11-12,16:15:00,mixed-carousel,130,28,14,7,F,#Sports
0000000000000051,Tuesday,2024-11-11,10:00:00,reels,240,55,30,15,F,#Tech,#AI
0000000000000052,Wednesday,2024-11-10,14:15:00,static-images,65,14,7,3,M,
0000000000000053,Thursday,2024-11-09,13:30:00,video-carousel,200,45,23,11,F,#Fitness
0000000000000054,Friday,2024-11-08,12:00:00,mixed-carousel,130,30,16,8,M,#Travel
0000000000000055,Saturday,2024-11-07,15:30:00,carousel,110,22,11,5,F,#Food
0000000000000056,Sunday,2024-11-06,14:00:00,reels,230,55,32,16,M,#Food
0000000000000057,Monday,2024-11-05,10:45:00,static-images,75,18,9,4,F,
0000000000000058,Tuesday,2024-11-04,12:30:00,video-carousel,190,43,21,10,M,#Music
0000000000000059,Wednesday,2024-11-03,09:15:00,mixed-carousel,140,32,16,8,F,#Health
0000000000000060,Thursday,2024-11-02,16:00:00,carousel,120,25,12,6,M,#Tech
0000000000000061,Friday,2024-11-01,14:00:00,reels,250,60,35,18,F,#Fitness
0000000000000062,Saturday,2024-10-31,13:00:00,static-images,80,20,10,5,M,
0000000000000063,Sunday,2024-10-30,12:30:00,video-carousel,210,45,22,12,F,#Movies
0000000000000064,Monday,2024-10-29,10:00:00,mixed-carousel,150,35,18,9,M,#Sports
0000000000000065,Tuesday,2024-10-28,16:30:00,carousel,105,22,11,5,F,#Nature
0000000000000066,Wednesday,2024-10-27,12:00:00,reels,220,50,30,15,M,#AI
0000000000000067,Thursday,2024-10-26,14:15:00,static-images,60,14,8,4,F,
0000000000000068,Friday,2024-10-25,13:00:00,video-carousel,200,43,21,10,M,#Fitness
0000000000000069,Saturday,2024-10-24,15:00:00,mixed-carousel,140,32,16,8,F,#Tech
0000000000000070,Sunday,2024-10-23,10:30:00,carousel,115,24,12,6,M,#Food
0000000000000071,Monday,2024-10-22,14:45:00,reels,230,55,32,16,F,#Adventure
0000000000000072,Tuesday,2024-10-21,09:00:00,static-images,70,16,8,3,M,
0000000000000073,Wednesday,2024-10-20,12:00:00,video-carousel,190,42,20,10,F,#Movies
0000000000000074,Thursday,2024-10-19,13:30:00,mixed-carousel,130,28,14,7,M,#Travel
0000000000000075,Friday,2024-10-18,11:00:00,carousel,100,20,10,5,F,#Health
0000000000000076,Saturday,2024-10-17,16:00:00,reels,240,55,30,15,M,#Tech
0000000000000077,Sunday,2024-10-16,10:30:00,static-images,80,18,9,4,F,
0000000000000078,Monday,2024-10-15,13:00:00,video-carousel,200,45,23,11,M,#Music
0000000000000079,Tuesday,2024-10-14,14:30:00,mixed-carousel,140,30,16,8,F,#Nature
0000000000000080,Wednesday,2024-10-13,10:00:00,carousel,110,22,11,5,M,#Tech
0000000000000081,Thursday,2024-10-12,12:00:00,reels,250,60,35,18,F,#Vlog
0000000000000082,Friday,2024-10-11,16:00:00,static-images,70,15,8,4,M,
0000000000000083,Saturday,2024-10-10,13:30:00,video-carousel,210,45,22,12,F,#Fitness
0000000000000084,Sunday,2024-10-09,11:00:00,mixed-carousel,150,32,16,8,M,#Sports
0000000000000085,Monday,2024-10-08,09:00:00,carousel,120,25,12,6,F,#DIY
0000000000000086,Tuesday,2024-10-07,14:15:00,reels,240,55,30,15,M,#Tech
0000000000000087,Wednesday,2024-10-06,10:30:00,static-images,65,14,7,3,F,
0000000000000088,Thursday,2024-10-05,13:00:00,video-carousel,200,43,21,10,M,#Health
0000000000000089,Friday,2024-10-04,11:45:00,mixed-carousel,140,32,16,8,F,#Tech
0000000000000090,Saturday,2024-10-03,16:00:00,carousel,110,24,12,6,M,#Food
0000000000000091,Sunday,2024-10-02,14:30:00,reels,220,50,30,15,F,#Fitness
0000000000000092,Monday,2024-10-01,12:00:00,static-images,80,18,9,4,M,
0000000000000093,Tuesday,2024-09-30,13:30:00,video-carousel,190,42,20,10,F,#Movies
0000000000000094,Wednesday,2024-09-29,09:00:00,mixed-carousel,130,28,14,7,M,#Travel
0000000000000095,Thursday,2024-09-28,12:30:00,carousel,100,22,11,5,F,#Health
0000000000000096,Friday,2024-09-27,14:00:00,reels,230,55,32,16,M,#Food
0000000000000097,Saturday,2024-09-26,10:00:00,static-images,75,18,9,4,F,
0000000000000098,Sunday,2024-09-25,11:30:00,video-carousel,200,43,21,10,M,#Fitness
0000000000000099,Monday,2024-09-24,15:00:00,mixed-carousel,140,30,16,8,F,#Sports
0000000000000100,Tuesday,2024-09-23,13:00:00,carousel,115,24,12,6,M,#Tech
